accountsLoggedIntoFromDeviceInLastDay,accountsLoggedIntoFromDeviceInLastWeek,accountsLoggedIntoFromDeviceInLastMonth,areBarberAndClientUsingTheSameDevice,barberClientCount,barberMobilePayTransactionsUnderReview,barberRejectedTransactionsAllTime,barberTransactionsAllTime,barberProcessedTransactionsAllTime,barberTransactionsCreatedAndProcessedInLast1Hour,barberUnregisteredClientCount,clientAccountEmailChangedInLastDay,clientAccountRegisteredApprovedDeviceInLastDay,clientDeviceCount,clientMobilePayFraudAssessmentsPendingReview,clientPaymentMethodChangesInLastHour,clientPaymentMethodChangesInLastDay,clientPaymentMethodChangesInLastWeek,clientPaymentMethodChangesInLastMonth,clientPaymentMethodChangesInLastThreeMonths,clientTransactionsInLast1Hour,clientTransactionsAllTime,clientProcessedTransactionsAllTime,clientTransactionsWithBarberAllTime,clientIPAndMerchantAccountCreationIPMatch,daysBetweenBarberSignupAndBooking,deviceMobilePayFraudAssessmentsPendingReview,hasBarberClientRelation,hoursBetweenBookingAndAppointmentStart,hoursBetweenClientSignupAndBooking,isWalletPaymentMethod,minutesBetweenBookingAndAppointmentStart,mobilePayTransactionsCreatedFromDeviceInLastHour,mobilePayTransactionsCreatedFromDeviceInLastDay,mobilePayTransactionsCreatedFromDeviceInLastWeek,mobilePayTransactionsCreatedFromDeviceInLastMonth,mobilePayTransactionsCreatedFromIPInLastHour,mobilePayTransactionsCreatedFromIPInLastDay,mobilePayTransactionsCreatedFromIPInLastWeek,mobilePayTransactionsCreatedFromIPInLastMonth,rejectedClientTransactions,tipAmountToServicePriceRatio,transactionDisputesCreatedFromIPAllTime,transactionTotal,is_fraud
1,1,1,FALSE,292,0,0,641,540,0,0,FALSE,FALSE,1,0,0,0,0,0,0,1,1,0,0,FALSE,767,0,FALSE,49,50,TRUE,2990,1,1,1,1,1,1,1,2,0,0,0,65.95,
1,1,1,FALSE,56,0,1,113,85,0,1,FALSE,FALSE,1,0,1,1,1,1,1,2,2,0,0,FALSE,236,0,FALSE,0,1,FALSE,54,2,2,2,2,1,1,1,2,0,0.08,0,65.95,
1,1,1,FALSE,2,0,0,1,0,0,0,FALSE,FALSE,1,0,1,1,1,1,1,2,2,0,0,FALSE,193,0,FALSE,1,1,FALSE,88,2,2,2,2,2,2,2,3,0,0.04,0,52.95,
0,0,0,FALSE,417,0,1,172,142,0,0,FALSE,FALSE,1,0,1,1,1,2,3,1,3,2,3,FALSE,756,0,TRUE,7,1363,FALSE,428,1,1,1,2,1,1,1,1,0,0.08,0,65.95,
0,0,0,FALSE,805,0,0,614,360,0,87,FALSE,FALSE,1,0,1,1,1,1,1,1,2,1,0,FALSE,809,0,TRUE,1,12065,FALSE,93,1,1,1,1,1,1,1,1,0,0,0,40.95,
0,0,0,FALSE,1176,0,0,2854,2282,0,0,FALSE,FALSE,1,0,0,0,0,0,1,1,12,10,12,FALSE,1830,0,TRUE,45,10909,FALSE,2704,1,1,1,2,1,1,1,1,0,0.2,0,56.15,
0,0,0,FALSE,423,0,0,957,882,0,1,FALSE,FALSE,1,0,0,0,0,0,0,1,37,30,37,FALSE,1021,0,TRUE,1,13965,FALSE,67,1,1,1,1,1,1,1,4,0,0,1,40.95,
0,0,0,FALSE,275,0,0,1115,707,0,0,FALSE,FALSE,1,0,0,0,0,0,0,2,38,35,38,FALSE,1497,0,TRUE,71,14032,TRUE,4306,2,2,3,8,2,2,2,3,0,0,0,15.95,
0,0,0,FALSE,1119,0,0,4833,3718,0,0,FALSE,FALSE,1,0,0,0,0,1,2,1,49,43,3,FALSE,2087,0,TRUE,66,14037,FALSE,3989,1,1,2,4,1,1,1,2,0,0,0,35.95,
0,0,0,FALSE,654,0,0,2896,2216,0,0,FALSE,FALSE,1,0,0,0,0,0,0,1,31,24,21,FALSE,2100,0,TRUE,187,14136,TRUE,11278,1,1,1,1,1,1,1,1,0,0.18,0,44.61,
