accountsLoggedIntoFromDeviceInLastDay,accountsLoggedIntoFromDeviceInLastWeek,accountsLoggedIntoFromDeviceInLastMonth,areBarberAndClientUsingTheSameDevice,barberClientCount,barberMobilePayTransactionsUnderReview,barberRejectedTransactionsAllTime,barberTransactionsAllTime,barberProcessedTransactionsAllTime,barberTransactionsCreatedAndProcessedInLast1Hour,barberUnregisteredClientCount,clientAccountEmailChangedInLastDay,clientAccountRegisteredApprovedDeviceInLastDay,clientDeviceCount,clientMobilePayFraudAssessmentsPendingReview,clientPaymentMethodChangesInLastHour,clientPaymentMethodChangesInLastDay,clientPaymentMethodChangesInLastWeek,clientPaymentMethodChangesInLastMonth,clientPaymentMethodChangesInLastThreeMonths,clientTransactionsInLast1Hour,clientTransactionsAllTime,clientProcessedTransactionsAllTime,clientTransactionsWithBarberAllTime,clientIPAndMerchantAccountCreationIPMatch,daysBetweenBarberSignupAndBooking,deviceMobilePayFraudAssessmentsPendingReview,hasBarberClientRelation,hoursBetweenBookingAndAppointmentStart,hoursBetweenClientSignupAndBooking,isWalletPaymentMethod,minutesBetweenBookingAndAppointmentStart,mobilePayTransactionsCreatedFromDeviceInLastHour,mobilePayTransactionsCreatedFromDeviceInLastDay,mobilePayTransactionsCreatedFromDeviceInLastWeek,mobilePayTransactionsCreatedFromDeviceInLastMonth,mobilePayTransactionsCreatedFromIPInLastHour,mobilePayTransactionsCreatedFromIPInLastDay,mobilePayTransactionsCreatedFromIPInLastWeek,mobilePayTransactionsCreatedFromIPInLastMonth,rejectedClientTransactions,tipAmountToServicePriceRatio,transactionDisputesCreatedFromIPAllTime,transactionTotal,is_fraud,,,known_values
0,0,0,FALSE,1450,0,4,1269,636,0,0,FALSE,FALSE,1,0,0,0,0,0,0,1,5,2,5,FALSE,955,0,TRUE,22,13961,TRUE,1355,1,1,1,1,1,1,1,1,0,0,0,45.95,,,,FALSE
0,0,0,FALSE,637,0,0,11182,5745,0,0,FALSE,FALSE,1,0,0,0,0,0,0,1,117,59,116,FALSE,1093,0,TRUE,75,14040,TRUE,4541,1,1,1,2,1,1,1,1,0,0,0,30.95,,,,FALSE
0,0,0,FALSE,629,0,0,2620,2273,0,0,FALSE,FALSE,2,0,0,0,0,0,0,1,77,72,77,FALSE,1277,0,TRUE,63,14010,TRUE,3806,1,1,1,2,1,1,1,1,0,0,0,35.95,,,,FALSE
0,0,0,FALSE,137,0,0,192,178,0,1,FALSE,FALSE,1,0,0,0,0,0,0,1,13,8,4,FALSE,1283,0,TRUE,16,13989,FALSE,998,1,1,1,1,1,1,3,9,0,0.17,0,35.95,,,,FALSE
0,0,0,FALSE,1196,0,0,10109,7922,0,0,FALSE,FALSE,1,0,0,0,0,0,0,1,41,21,41,FALSE,1924,0,TRUE,79,14035,FALSE,4792,1,1,1,1,1,1,2,3,0,0.15,0,30.85,,,,FALSE
0,0,0,FALSE,405,0,0,3346,2455,0,0,FALSE,FALSE,1,0,1,1,1,2,3,1,25,18,21,FALSE,1540,0,TRUE,2,13966,FALSE,134,1,1,1,4,1,1,1,1,0,0.23,0,44,,,,FALSE
0,0,0,FALSE,975,0,0,2738,2286,0,1,FALSE,FALSE,1,0,0,0,0,0,1,1,44,38,44,FALSE,1868,0,TRUE,45,13856,FALSE,2751,1,1,1,2,1,1,1,1,0,0.24,0,53,,,,FALSE
0,0,0,FALSE,208,0,2,581,407,0,0,FALSE,FALSE,1,0,0,0,0,0,0,1,26,14,0,FALSE,1189,0,TRUE,74,6124,FALSE,4476,1,1,1,3,1,1,1,1,0,0,0,15.95,,,,TRUE
0,0,0,FALSE,218,0,0,1647,1250,0,2,FALSE,FALSE,1,0,0,0,0,0,0,1,64,52,62,FALSE,1221,0,TRUE,49,13989,TRUE,2967,1,1,1,3,1,1,2,2,0,0,0,47.95,,,,FALSE
0,0,0,FALSE,600,0,0,4634,3355,0,0,FALSE,FALSE,3,0,0,0,0,0,0,1,25,21,25,FALSE,1139,0,TRUE,1,13942,TRUE,104,1,1,1,1,1,1,1,1,0,0.28,0,33,,,,FALSE
0,0,0,FALSE,289,0,0,3947,3475,0,0,FALSE,FALSE,2,0,0,0,0,0,0,1,118,106,116,FALSE,1637,0,TRUE,2,13962,FALSE,163,1,1,1,3,1,1,1,3,0,0,0,53.95,,,,FALSE
0,0,0,FALSE,565,0,0,551,373,0,0,FALSE,FALSE,1,0,0,0,0,0,0,1,25,10,25,FALSE,1348,0,TRUE,56,13169,FALSE,3378,1,1,1,1,1,1,1,1,0,0.17,0,35.95,,,,FALSE
0,0,0,FALSE,157,0,0,353,300,0,97,FALSE,FALSE,1,0,0,0,0,0,1,1,4,3,4,FALSE,1592,0,TRUE,103,4895,FALSE,6190,1,1,1,1,1,1,1,2,0,0.25,0,50.95,,,,FALSE
0,0,0,FALSE,1180,0,0,3825,3214,0,0,FALSE,TRUE,1,0,0,0,0,0,0,1,10,9,9,FALSE,2302,0,TRUE,18,13962,TRUE,1121,1,1,1,1,1,1,1,1,0,0,0,40.95,,,,FALSE
